Zeit:,Anzahl an Elemente:
0,0
0,10
0,20
0,30
0,40
0,50
0,60
0,70
0,80
0,90
0,100
0,200
0,300
0,400
0,500
0,600
0,700
16,800
0,900
0,1000
0,2000
0,3000
0,4000
0,5000
0,6000
0,7000
0,8000
0,9000
0,10000
0,20000
15,30000
0,40000
0,50000
16,60000
0,70000
15,80000
0,90000
16,100000
16,200000
32,300000
46,400000
47,500000
62,600000
79,700000
93,800000
94,900000
109,1000000
234,2000000
344,3000000
453,4000000
593,5000000
703,6000000
828,7000000
953,8000000
1078,9000000
1203,10000000
2469,20000000
3749,30000000
5045,40000000
6358,50000000
7739,60000000
Zeiten des Heapsort Algorithmus
Anzahl an Elemente:;Zeit in ms:
0;0
10;0
20;0
30;0
40;0
50;0
60;0
70;0
80;0
90;0
100;0
200;0
300;0
400;0
500;0
600;0
700;0
800;0
900;1
1000;0
2000;0
3000;0
4000;1
5000;1
6000;1
7000;1
8000;2
9000;1
10000;1
Zeiten des Minimumsuche Algorithmus
Anzahl an Elemente:;Zeit in ms:
0;0
10;0
20;0
30;0
40;0
50;0
60;0
70;0
80;1
90;0
100;0
200;1
300;1
400;1
500;0
600;1
700;1
800;2
900;1
1000;1
2000;2
3000;2
4000;4
5000;6
6000;9
7000;11
8000;14
9000;17
10000;21
Zeiten des Heapsort Algorithmus
Anzahl an Elemente:;Zeit in ms:
0;1
10;0
20;0
30;0
40;0
50;0
60;0
70;0
80;0
90;0
100;0
200;1
300;0
400;0
500;0
600;0
700;1
800;0
900;0
1000;0
2000;1
3000;0
4000;0
5000;0
6000;0
7000;1
8000;1
9000;2
10000;1
Zeiten des Minimumsuche Algorithmus
Anzahl an Elemente:;Zeit in ms:
0;0
10;0
20;0
30;0
40;0
50;0
60;0
70;0
80;0
90;1
100;0
200;0
300;1
400;1
500;0
600;1
700;1
800;1
900;0
1000;1
2000;2
3000;2
4000;4
5000;6
6000;8
7000;11
8000;13
9000;17
10000;20
Zeiten des Heapsort Algorithmus
Anzahl an Elemente:;Zeit in ms:
0;0
10;0
20;0
30;1
40;0
50;0
60;0
70;0
80;0
90;1
100;0
200;0
300;0
400;0
500;0
600;0
700;0
800;0
900;0
1000;0
2000;0
3000;1
4000;1
5000;0
6000;1
7000;0
8000;1
9000;1
10000;1
20000;2
30000;3
40000;5
50000;5
60000;6
70000;7
80000;7
90000;9
100000;10
200000;20
300000;31
400000;40
500000;52
600000;67
700000;74
800000;84
900000;98
1000000;110
2000000;217
3000000;340
4000000;457
5000000;588
Zeiten des Heapsort Algorithmus
Anzahl an Elemente:;Zeit in ms:
0;0
10;0
20;0
30;0
40;0
50;0
60;0
70;0
80;0
90;0
100;0
200;0
300;1
400;0
500;0
600;0
700;0
800;1
900;0
1000;0
2000;1
3000;0
4000;0
5000;1
6000;1
7000;0
8000;1
9000;2
10000;1
20000;2
30000;4
40000;4
50000;6
60000;7
70000;7
80000;9
Zeiten des Minimumsuche Algorithmus
Anzahl an Elemente:;Zeit in ms:
0;0
10;0
20;0
30;0
40;0
50;0
60;0
70;0
80;0
90;0
100;0
200;1
300;1
400;1
500;1
600;1
700;1
800;1
900;1
1000;1
2000;2
3000;4
4000;5
5000;7
6000;10
7000;12
8000;16
9000;19
10000;24
20000;84
30000;181
40000;307
50000;459
60000;632
70000;833
80000;1089
Zeiten des Heapsort Algorithmus
Anzahl an Elemente:;Zeit in ms:
0;0
10;0
20;0
30;0
40;0
50;0
60;0
70;0
80;0
90;0
100;0
200;0
300;0
400;0
500;0
600;1
700;0
800;0
900;1
1000;0
2000;0
3000;0
4000;1
5000;1
6000;1
7000;0
8000;1
9000;1
10000;1
20000;2
30000;3
40000;5
50000;6
60000;7
70000;8
80000;10
90000;10
100000;11
200000;24
300000;36
400000;48
Zeiten des Minimumsuche Algorithmus
Anzahl an Elemente:;Zeit in ms:
0;0
10;0
20;0
30;0
40;0
50;0
60;0
70;0
80;0
90;0
100;0
200;0
300;2
400;0
500;0
600;1
700;1
800;1
900;1
1000;1
2000;1
3000;2
4000;4
5000;7
6000;10
7000;12
8000;16
9000;20
10000;24
20000;85
30000;186
40000;334
50000;489
60000;642
70000;841
80000;1071
90000;1349
100000;1661
200000;6535
300000;14657
400000;25946
Zeiten des Heapsort Algorithmus
Anzahl an Elemente:;Zeit in ms:
0;0
10;0
20;0
30;0
40;0
50;0
60;0
70;0
80;0
90;0
100;0
200;0
300;0
400;1
500;0
600;0
700;0
800;0
900;1
1000;0
2000;0
3000;0
4000;1
5000;1
6000;1
7000;1
8000;1
9000;1
10000;1
20000;2
30000;4
40000;4
50000;5
60000;7
70000;8
80000;10
90000;10
100000;12
200000;24
300000;37
400000;48
500000;63
600000;78
700000;93
800000;93
900000;110
1000000;121
Zeiten des Minimumsuche Algorithmus
Anzahl an Elemente:;Zeit in ms:
0;0
10;0
20;0
30;0
40;0
50;0
60;0
70;0
80;0
90;0
100;1
200;0
300;1
400;0
500;1
600;0
700;1
800;0
900;1
1000;0
2000;1
3000;3
4000;5
5000;7
6000;9
7000;12
8000;21
9000;21
10000;22
20000;82
30000;176
40000;293
50000;440
60000;612
70000;854
80000;1085
90000;1345
100000;1653
200000;6539
300000;14709
400000;26092
500000;40641
600000;58362
700000;207563
800000;147029
900000;131257
1000000;344356
